ball,bound
ball,bask
window,womb
broken,bottom
word,money
rain,run
dog,guy
to bark,biting
cat,god
girl,guy
tree,train
ball,bald
ball,barn
ball,banks
king's,cleans
king's,kins
glass,grass
woman,man
somewhere,someone
wear,words
shoe,scene
boy,man
mother,wife
school,cool
girl,earl
slipper,sipper
lamp,lap
umbrella ,soccer ball
short,sort
boy,boil
woman,man
fourth,force
door,window
fireman,a policeman's coming this way to help get these people this problem
glass,is the broken gas
soaking,stoking
ladder,window 
kick,cook
window,door
umbrella ,comb
umbrella ,bread
umbrella ,read
to catch,kitchen 
ball,my bun... my bell... (ball + )
soccer,sock
mother,daughter
lamp,lights
to give,gay
rescue,like
dog,door
to bark,to talk
to kick,to cook
to show,to go
to kick,and he hit ... kits...high 
both,bow
cat,hat
dog,boy
cat,girl
to bark,to call
to reach,to crawl
there is ,hairs
to ride,to drive
quite,white
girl,boy
grow,goer
page,bar
umbrella ,black
naughty,nasty
to walk,to speak
girl,woman
to ride,to run
cat,hat
branch,window
father,mother
tree,to try
tree,far
dog,fog
ladder,water
ladder,bottle
truck,bottle
truck,home
fire,ocean
tree,hospital
bird,song
daughters,girls
maid,main
woman,man
that,dat
foot,pit
slipper,pitcher
put,he pits 
sisters,brothers
to elate,to delate
boy,man
hands,heads
to cry,to try
wheels,feels
ladder,letter
age,days
to say,to see
foot,head
woman,man
put,foot